aprendizajeI.txt: 
Numero de documentos del corpus: 859
Numero de palabras del corpus: 11118
Palabra: barriers Frec: 1 LogProb: -8.94663520890585
Palabra: bartlett Frec: 0 LogProb: -9.639782389465795
Palabra: base Frec: 1 LogProb: -8.94663520890585
Palabra: based Frec: 2 LogProb: -8.541170100797686
Palabra: basic Frec: 1 LogProb: -8.94663520890585
Palabra: basis Frec: 1 LogProb: -8.94663520890585
Palabra: batch Frec: 0 LogProb: -9.639782389465795
Palabra: bathroom Frec: 0 LogProb: -9.639782389465795
Palabra: bathrooms Frec: 0 LogProb: -9.639782389465795
Palabra: battle Frec: 0 LogProb: -9.639782389465795
Palabra: battling Frec: 0 LogProb: -9.639782389465795
Palabra: baxter Frec: 1 LogProb: -8.94663520890585
Palabra: bay Frec: 1 LogProb: -8.94663520890585
Palabra: bc Frec: 0 LogProb: -9.639782389465795
Palabra: bday Frec: 1 LogProb: -8.94663520890585
Palabra: be Frec: 39 LogProb: -5.950902935351859
Palabra: beach Frec: 1 LogProb: -8.94663520890585
Palabra: beaches Frec: 1 LogProb: -8.94663520890585
Palabra: beans Frec: 0 LogProb: -9.639782389465795
Palabra: beat Frec: 0 LogProb: -9.639782389465795
Palabra: beats Frec: 0 LogProb: -9.639782389465795
Palabra: beautiful Frec: 0 LogProb: -9.639782389465795
Palabra: because Frec: 1 LogProb: -8.94663520890585
Palabra: become Frec: 3 LogProb: -8.253488028345904
Palabra: becoming Frec: 1 LogProb: -8.94663520890585
Palabra: been Frec: 9 LogProb: -7.33719729647175
Palabra: before Frec: 1 LogProb: -8.94663520890585
Palabra: began Frec: 1 LogProb: -8.94663520890585
Palabra: begin Frec: 5 LogProb: -7.8480229202377405
Palabra: begins Frec: 0 LogProb: -9.639782389465795
Palabra: begun Frec: 0 LogProb: -9.639782389465795
Palabra: behaviour Frec: 1 LogProb: -8.94663520890585
Palabra: behind Frec: 4 LogProb: -8.030344477031695
Palabra: being Frec: 3 LogProb: -8.253488028345904
Palabra: belgium Frec: 0 LogProb: -9.639782389465795
Palabra: belief Frec: 0 LogProb: -9.639782389465795
Palabra: beliefs Frec: 0 LogProb: -9.639782389465795
Palabra: believe Frec: 2 LogProb: -8.541170100797686
Palabra: believes Frec: 0 LogProb: -9.639782389465795
Palabra: belize Frec: 1 LogProb: -8.94663520890585
Palabra: bell Frec: 1 LogProb: -8.94663520890585
Palabra: bella Frec: 1 LogProb: -8.94663520890585
Palabra: belong Frec: 1 LogProb: -8.94663520890585
Palabra: below Frec: 1 LogProb: -8.94663520890585
Palabra: benchmark Frec: 1 LogProb: -8.94663520890585
Palabra: beneficiaries Frec: 1 LogProb: -8.94663520890585
Palabra: beneficios Frec: 1 LogProb: -8.94663520890585
Palabra: benefit Frec: 7 LogProb: -7.56034084778596
Palabra: benefiting Frec: 1 LogProb: -8.94663520890585
Palabra: benefits Frec: 9 LogProb: -7.33719729647175
Palabra: benoit Frec: 1 LogProb: -8.94663520890585
Palabra: berkowitz's Frec: 1 LogProb: -8.94663520890585
Palabra: bertelsmann Frec: 1 LogProb: -8.94663520890585
Palabra: beshears Frec: 1 LogProb: -8.94663520890585
Palabra: beslenebilirim Frec: 0 LogProb: -9.639782389465795
Palabra: best Frec: 11 LogProb: -7.154875739677795
Palabra: bet Frec: 2 LogProb: -8.541170100797686
Palabra: better Frec: 4 LogProb: -8.030344477031695
