aprendizajeD.txt: 
Numero de documentos del corpus: 205
Numero de palabras del corpus: 2127
Palabra: average Frec: 0 LogProb: -8.759825595314293
Palabra: avert Frec: 0 LogProb: -8.759825595314293
Palabra: avoid Frec: 0 LogProb: -8.759825595314293
Palabra: award Frec: 6 LogProb: -6.813915446258981
Palabra: awarded Frec: 0 LogProb: -8.759825595314293
Palabra: awarding Frec: 0 LogProb: -8.759825595314293
Palabra: awards Frec: 5 LogProb: -6.9680661260862395
Palabra: awardwinning Frec: 0 LogProb: -8.759825595314293
Palabra: aware Frec: 0 LogProb: -8.759825595314293
Palabra: awareness Frec: 0 LogProb: -8.759825595314293
Palabra: away Frec: 0 LogProb: -8.759825595314293
Palabra: awesome Frec: 4 LogProb: -7.1503876828801936
Palabra: b Frec: 0 LogProb: -8.759825595314293
Palabra: ba Frec: 0 LogProb: -8.759825595314293
Palabra: babies Frec: 0 LogProb: -8.759825595314293
Palabra: baby Frec: 4 LogProb: -7.1503876828801936
Palabra: back Frec: 14 LogProb: -6.051775394212084
Palabra: backed Frec: 0 LogProb: -8.759825595314293
Palabra: background Frec: 0 LogProb: -8.759825595314293
Palabra: bad Frec: 0 LogProb: -8.759825595314293
Palabra: bag Frec: 0 LogProb: -8.759825595314293
Palabra: bags Frec: 0 LogProb: -8.759825595314293
Palabra: bai Frec: 0 LogProb: -8.759825595314293
Palabra: bailouts Frec: 0 LogProb: -8.759825595314293
Palabra: bair Frec: 0 LogProb: -8.759825595314293
Palabra: bakery Frec: 0 LogProb: -8.759825595314293
Palabra: balance Frec: 0 LogProb: -8.759825595314293
Palabra: ban Frec: 0 LogProb: -8.759825595314293
Palabra: banamex Frec: 1 LogProb: -8.06667841475435
Palabra: banana Frec: 0 LogProb: -8.759825595314293
Palabra: bancorp Frec: 0 LogProb: -8.759825595314293
Palabra: bandung Frec: 1 LogProb: -8.06667841475435
Palabra: bank Frec: 2 LogProb: -7.661213306646184
Palabra: bank's Frec: 0 LogProb: -8.759825595314293
Palabra: bankers Frec: 0 LogProb: -8.759825595314293
Palabra: banking Frec: 0 LogProb: -8.759825595314293
Palabra: banks Frec: 0 LogProb: -8.759825595314293
Palabra: barack Frec: 0 LogProb: -8.759825595314293
Palabra: barclays Frec: 0 LogProb: -8.759825595314293
Palabra: barclaysstocktrade Frec: 0 LogProb: -8.759825595314293
Palabra: barriers Frec: 0 LogProb: -8.759825595314293
Palabra: bartlett Frec: 1 LogProb: -8.06667841475435
Palabra: base Frec: 0 LogProb: -8.759825595314293
Palabra: based Frec: 0 LogProb: -8.759825595314293
Palabra: basic Frec: 0 LogProb: -8.759825595314293
Palabra: basis Frec: 0 LogProb: -8.759825595314293
Palabra: batch Frec: 0 LogProb: -8.759825595314293
Palabra: bathroom Frec: 0 LogProb: -8.759825595314293
Palabra: bathrooms Frec: 0 LogProb: -8.759825595314293
Palabra: battle Frec: 0 LogProb: -8.759825595314293
Palabra: battling Frec: 0 LogProb: -8.759825595314293
Palabra: baxter Frec: 0 LogProb: -8.759825595314293
Palabra: bay Frec: 0 LogProb: -8.759825595314293
Palabra: bc Frec: 0 LogProb: -8.759825595314293
Palabra: bday Frec: 0 LogProb: -8.759825595314293
Palabra: be Frec: 19 LogProb: -5.764093321760303
Palabra: beach Frec: 1 LogProb: -8.06667841475435
Palabra: beaches Frec: 0 LogProb: -8.759825595314293
Palabra: beans Frec: 0 LogProb: -8.759825595314293
Palabra: beat Frec: 0 LogProb: -8.759825595314293
Palabra: beats Frec: 0 LogProb: -8.759825595314293
Palabra: beautiful Frec: 2 LogProb: -7.661213306646184
Palabra: because Frec: 0 LogProb: -8.759825595314293
Palabra: become Frec: 0 LogProb: -8.759825595314293
Palabra: becoming Frec: 0 LogProb: -8.759825595314293
Palabra: been Frec: 4 LogProb: -7.1503876828801936
Palabra: before Frec: 0 LogProb: -8.759825595314293
Palabra: began Frec: 0 LogProb: -8.759825595314293
Palabra: begin Frec: 0 LogProb: -8.759825595314293
Palabra: begins Frec: 0 LogProb: -8.759825595314293
Palabra: begun Frec: 0 LogProb: -8.759825595314293
Palabra: behaviour Frec: 0 LogProb: -8.759825595314293
Palabra: behind Frec: 0 LogProb: -8.759825595314293
Palabra: being Frec: 2 LogProb: -7.661213306646184
Palabra: belgium Frec: 0 LogProb: -8.759825595314293
Palabra: belief Frec: 1 LogProb: -8.06667841475435
Palabra: beliefs Frec: 0 LogProb: -8.759825595314293
Palabra: believe Frec: 4 LogProb: -7.1503876828801936
Palabra: believes Frec: 0 LogProb: -8.759825595314293
Palabra: belize Frec: 0 LogProb: -8.759825595314293
Palabra: bell Frec: 0 LogProb: -8.759825595314293
Palabra: bella Frec: 0 LogProb: -8.759825595314293
Palabra: belong Frec: 0 LogProb: -8.759825595314293
Palabra: below Frec: 0 LogProb: -8.759825595314293
Palabra: benchmark Frec: 0 LogProb: -8.759825595314293
Palabra: beneficiaries Frec: 0 LogProb: -8.759825595314293
Palabra: beneficios Frec: 0 LogProb: -8.759825595314293
Palabra: benefit Frec: 0 LogProb: -8.759825595314293
Palabra: benefiting Frec: 0 LogProb: -8.759825595314293
Palabra: benefits Frec: 0 LogProb: -8.759825595314293
Palabra: benoit Frec: 0 LogProb: -8.759825595314293
Palabra: berkowitz's Frec: 0 LogProb: -8.759825595314293
Palabra: bertelsmann Frec: 0 LogProb: -8.759825595314293
Palabra: beshears Frec: 0 LogProb: -8.759825595314293
Palabra: beslenebilirim Frec: 0 LogProb: -8.759825595314293
Palabra: best Frec: 2 LogProb: -7.661213306646184
Palabra: bet Frec: 0 LogProb: -8.759825595314293
Palabra: better Frec: 0 LogProb: -8.759825595314293
Palabra: between Frec: 0 LogProb: -8.759825595314293
Palabra: beverage Frec: 0 LogProb: -8.759825595314293
Palabra: beverages Frec: 0 LogProb: -8.759825595314293
Palabra: bicycle Frec: 0 LogProb: -8.759825595314293
Palabra: bid Frec: 0 LogProb: -8.759825595314293
Palabra: bidders Frec: 0 LogProb: -8.759825595314293
Palabra: big Frec: 0 LogProb: -8.759825595314293
Palabra: bigger Frec: 0 LogProb: -8.759825595314293
Palabra: biggest Frec: 0 LogProb: -8.759825595314293
Palabra: bigwigs Frec: 0 LogProb: -8.759825595314293
Palabra: bikes Frec: 0 LogProb: -8.759825595314293
Palabra: bil Frec: 0 LogProb: -8.759825595314293
Palabra: bill Frec: 0 LogProb: -8.759825595314293
Palabra: billion Frec: 0 LogProb: -8.759825595314293
Palabra: billionaire Frec: 0 LogProb: -8.759825595314293
Palabra: billionaire's Frec: 0 LogProb: -8.759825595314293
Palabra: billions Frec: 0 LogProb: -8.759825595314293
Palabra: binu Frec: 0 LogProb: -8.759825595314293
Palabra: bio Frec: 0 LogProb: -8.759825595314293
Palabra: bioplastics Frec: 0 LogProb: -8.759825595314293
Palabra: biopori Frec: 2 LogProb: -7.661213306646184
Palabra: bit Frec: 0 LogProb: -8.759825595314293
Palabra: biz Frec: 0 LogProb: -8.759825595314293
Palabra: black Frec: 0 LogProb: -8.759825595314293
Palabra: blackberry Frec: 0 LogProb: -8.759825595314293
Palabra: blackrock Frec: 0 LogProb: -8.759825595314293
Palabra: blackstone's Frec: 0 LogProb: -8.759825595314293
Palabra: bladder Frec: 0 LogProb: -8.759825595314293
Palabra: blame Frec: 1 LogProb: -8.06667841475435
Palabra: blankfein Frec: 0 LogProb: -8.759825595314293
Palabra: bldgs Frec: 0 LogProb: -8.759825595314293
Palabra: blessed Frec: 0 LogProb: -8.759825595314293
Palabra: bleu Frec: 0 LogProb: -8.759825595314293
Palabra: blindness Frec: 0 LogProb: -8.759825595314293
Palabra: bln Frec: 0 LogProb: -8.759825595314293
Palabra: block Frec: 0 LogProb: -8.759825595314293
Palabra: blog Frec: 0 LogProb: -8.759825595314293
Palabra: blogpost Frec: 0 LogProb: -8.759825595314293
Palabra: blogs Frec: 0 LogProb: -8.759825595314293
Palabra: bloomberg Frec: 0 LogProb: -8.759825595314293
Palabra: bmg Frec: 0 LogProb: -8.759825595314293
Palabra: bmo's Frec: 0 LogProb: -8.759825595314293
Palabra: bn Frec: 0 LogProb: -8.759825595314293
Palabra: board Frec: 0 LogProb: -8.759825595314293
Palabra: boarding Frec: 0 LogProb: -8.759825595314293
Palabra: body Frec: 0 LogProb: -8.759825595314293
Palabra: boe Frec: 0 LogProb: -8.759825595314293
Palabra: boe's Frec: 0 LogProb: -8.759825595314293
Palabra: bofa Frec: 0 LogProb: -8.759825595314293
Palabra: bofa's Frec: 0 LogProb: -8.759825595314293
Palabra: bolster Frec: 0 LogProb: -8.759825595314293
Palabra: bonafont Frec: 0 LogProb: -8.759825595314293
Palabra: bond Frec: 0 LogProb: -8.759825595314293
Palabra: bonds Frec: 0 LogProb: -8.759825595314293
Palabra: bone Frec: 0 LogProb: -8.759825595314293
